danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,audio_features,6wf7Yu7cxBSPrRlWeSeK0Q,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,222370,4
0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4
0.693,0.723,7,-6.391,1,0.027,0.188,0.0,0.355,0.845,130.099,audio_features,71mJbzdCt4KTWsLDUf5QHp,spotify:track:71mJbzdCt4KTWsLDUf5QHp,https://api.spotify.com/v1/tracks/71mJbzdCt4KTWsLDUf5QHp,https://api.spotify.com/v1/audio-analysis/71mJbzdCt4KTWsLDUf5QHp,175973,4
0.738,0.768,4,-8.899,0,0.0915,0.307,1.35e-05,0.198,0.424,124.007,audio_features,7v4lL0VxQV8yTv29Tpf2sH,spotify:track:7v4lL0VxQV8yTv29Tpf2sH,https://api.spotify.com/v1/tracks/7v4lL0VxQV8yTv29Tpf2sH,https://api.spotify.com/v1/audio-analysis/7v4lL0VxQV8yTv29Tpf2sH,176613,4
0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4
0.623,0.913,9,-5.791,0,0.0409,0.00818,0.00182,0.114,0.437,125.985,audio_features,6fSFZusee1TtCLfxz3BuQ2,spotify:track:6fSFZusee1TtCLfxz3BuQ2,https://api.spotify.com/v1/tracks/6fSFZusee1TtCLfxz3BuQ2,https://api.spotify.com/v1/audio-analysis/6fSFZusee1TtCLfxz3BuQ2,337474,4
0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
0.914,0.489,9,-7.722,1,0.0858,0.12,0.0,0.0852,0.559,108.072,audio_features,3an1JVi8OsE0aG6dMS4Pes,spotify:track:3an1JVi8OsE0aG6dMS4Pes,https://api.spotify.com/v1/tracks/3an1JVi8OsE0aG6dMS4Pes,https://api.spotify.com/v1/audio-analysis/3an1JVi8OsE0aG6dMS4Pes,136360,4
0.692,0.732,8,-6.017,1,0.145,0.267,0.0,0.253,0.628,154.881,audio_features,2FiJGvN3fiXMwms9IftNV0,spotify:track:2FiJGvN3fiXMwms9IftNV0,https://api.spotify.com/v1/tracks/2FiJGvN3fiXMwms9IftNV0,https://api.spotify.com/v1/audio-analysis/2FiJGvN3fiXMwms9IftNV0,188520,4
0.767,0.539,4,-8.518,0,0.0629,0.364,0.0397,0.0772,0.368,128.055,audio_features,5YWu6dt50Nieq8qi572RF8,spotify:track:5YWu6dt50Nieq8qi572RF8,https://api.spotify.com/v1/tracks/5YWu6dt50Nieq8qi572RF8,https://api.spotify.com/v1/audio-analysis/5YWu6dt50Nieq8qi572RF8,131524,4
